Title,bedrooms,bath,Address,Address4
"$859,900",3,1,"1611 San Juan Ave, ","Saanich, BC"
"$1,399,900",4,4,"3570 Delblush Lane, ","Langford, BC"
"$499,900",2,2,"311-3931 Shelbourne St, ","Saanich, BC"
"$1,079,000",4,4,"2-1810 Kings Rd, ","Saanich, BC"
"$589,800",3,1,"107-2860 Sooke Lake Rd, ","Langford, BC"
"$549,900",2,1,"202-118 Croft St, ","Victoria, BC"
"$1,179,000",2,2,"901-373 Tyee Rd, ","Victoria, BC"
"$1,499,000",3,3,"21-5187 Cordova Bay Rd, ","Saanich, BC"
"$669,900",2,2,"501-1450 Glentana Rd, ","View Royal, BC"
"$3,100,000",2,2,"PH1802-960 Yates St, ","Victoria, BC"
"$499,000",2,2,"206-73 Gorge Rd W, ","Saanich, BC"
"$619,900",3,2,"109-820 Brock Ave, ","Langford, BC"
"$849,900",3,2,"4179 Quadra St, ","Saanich, BC"
"$1,300,000",3,3,"2536 Garden St, ","Victoria, BC"
"$2,250,000",7,4,"1824 Crescent Rd, ","Victoria, BC"
"$1,360,000",6,3,"65 Kingham Pl, ","View Royal, BC"
"$1,050,000",3,3,"17-500 Marsett Pl, ","Saanich, BC"
"$349,999",1,2,"413-75 Gorge Rd W, ","Saanich, BC"
"$1,649,000",4,4,"855 Richmond Ave, ","Victoria, BC"
"$4,500,000",5,5,"4871 Excelsior Rd, ","Saanich, BC"
